state,county,year,MedianAge,PerCapitaIncome,Population,PovertyCount
Nebraska,Wayne County,2018,31.8,27192,9367,1150
Nebraska,Knox County,2018,46.9,27372,8460,899
Nebraska,Merrick County,2018,43.6,29038,7803,806
Nebraska,Pawnee County,2018,50,26609,2676,412
Nebraska,Wheeler County,2018,49.8,27832,822,76
Nevada,Lander County,2018,37.2,33329,5746,851
Nevada,Esmeralda County,2018,48.3,24713,981,70
Missouri,Carroll County,2018,43.1,24597,8843,1370
Missouri,Daviess County,2018,40.5,24081,8302,1048
Missouri,Holt County,2018,48.4,25517,4456,557
Missouri,Marion County,2018,39.1,23589,28672,5036
Missouri,Osage County,2018,40.3,26037,13619,953
Missouri,Ripley County,2018,42.7,17502,13693,3633
Missouri,Warren County,2018,40.1,27523,33908,4486
Missouri,Washington County,2018,40.7,18915,24931,4767
Missouri,Christian County,2018,37.9,27024,84275,8468
Missouri,DeKalb County,2018,40.2,19524,12564,1232
Missouri,Harrison County,2018,43,20986,8554,1547
Missouri,Lafayette County,2018,42.3,28056,32589,4143
Missouri,Adair County,2018,27.7,22000,25325,5970
Missouri,Scotland County,2018,37.5,23809,4898,753
Missouri,Sullivan County,2018,42.6,21661,6317,1080
Missouri,Clark County,2018,43.9,28537,6800,889
Missouri,Jasper County,2018,36,24086,119238,20315
Missouri,Lewis County,2018,40.3,22602,10027,1440
Missouri,McDonald County,2018,38.3,20270,22827,4387
Missouri,Perry County,2018,40.6,24710,19146,1535
Missouri,Polk County,2018,37.5,22575,31549,4385
Missouri,Ray County,2018,41.8,27768,22825,3344
Montana,Hill County,2018,34.5,23017,16439,3098
Montana,Chouteau County,2018,40.9,22661,5789,1086
Montana,Lincoln County,2018,52.6,24082,19358,3552
Montana,Park County,2018,46.2,32133,16246,2007
Montana,Treasure County,2018,52.1,26348,777,124
Montana,Blaine County,2018,33.8,18155,6727,1961
Montana,Sweet Grass County,2018,51.5,29649,3653,287
Montana,Teton County,2018,44.6,27402,6080,797
Montana,Prairie County,2018,51.8,28087,1342,146
Montana,Glacier County,2018,31.4,17219,13699,4467
Montana,Fallon County,2018,39.3,34329,2838,266
Montana,Golden Valley County,2018,56,27476,724,105
Montana,Silver Bow County,2018,39.8,26224,34814,6464
Montana,Stillwater County,2018,46.6,32061,9410,599
Montana,Jefferson County,2018,47.9,32133,11778,1018
Montana,Granite County,2018,54.3,29074,3269,263
Montana,Wheatland County,2018,40.4,21442,2149,365
Montana,Madison County,2018,52.6,34014,8218,860
Montana,Sheridan County,2018,44.9,33711,3574,386
Montana,Carter County,2018,50.5,32001,1318,173
Montana,Big Horn County,2018,30.8,18560,13376,3454
Montana,Lake County,2018,42.3,24912,29774,6184
Montana,Lewis and Clark County,2018,41,32433,67077,7366
Montana,Pondera County,2018,40.5,24392,6044,1186
Montana,Yellowstone County,2018,38.2,33007,157816,15259
Montana,Missoula County,2018,35.6,30636,115983,16787
Montana,Ravalli County,2018,48.8,27766,41902,5924
Montana,Valley County,2018,44.4,28899,7532,670
Montana,Cascade County,2018,38.2,29212,81746,10178
Montana,Fergus County,2018,46,29237,11273,1534
Montana,Garfield County,2018,43.2,27291,1141,60
Montana,Mineral County,2018,52.6,23744,4211,705
Montana,Petroleum County,2018,52.1,32565,432,35
Montana,Powell County,2018,45.3,25060,6861,666
Montana,Sanders County,2018,53.2,23822,11521,2210
Montana,Wibaux County,2018,46,23137,1175,180
Montana,Gallatin County,2018,33.5,34331,104729,12023
Texas,San Patricio County,2018,35.3,25281,67046,10856
Texas,Randall County,2018,35.6,33814,132475,11236
Texas,San Saba County,2018,40.7,24307,5962,792
Texas,Schleicher County,2018,35,25128,3061,452
Texas,Zavala County,2018,32.9,13350,12131,4150
Texas,Calhoun County,2018,37.7,26596,21807,3041
Texas,Foard County,2018,49.3,25636,1408,95
Texas,Goliad County,2018,46,29918,7531,1267
Texas,Hamilton County,2018,46,28074,8269,1303
Texas,Mitchell County,2018,34.1,20896,8558,559
Texas,Titus County,2018,33.8,20633,32730,6162
Texas,Lavaca County,2018,43.5,31670,19941,2271
Texas,Terry County,2018,34.7,20127,12615,1807
Texas,Wise County,2018,38.4,28781,64639,7923
Texas,Matagorda County,2018,37.8,24376,36743,7293
Texas,Pecos County,2018,35.9,20688,15797,1684
Texas,Rockwall County,2018,37.6,39295,93642,5267
Texas,Taylor County,2018,32.3,26469,136348,20272
Texas,Throckmorton County,2018,46.6,28895,1567,228
Texas,Walker County,2018,35.4,17789,71539,12881
Texas,Wood County,2018,48.2,27841,43815,6019
Texas,Aransas County,2018,49.6,30939,24763,4951
Texas,Cochran County,2018,34.5,21014,2904,685
Texas,Coke County,2018,50.3,24768,3275,500
Texas,Coryell County,2018,31.5,21507,75389,8163
Texas,Hemphill County,2018,35.2,26781,4061,564
Texas,Moore County,2018,30.2,21650,21801,3319
Texas,Potter County,2018,33.8,22267,120899,22887
Texas,San Augustine County,2018,49.4,23261,8327,1939
Texas,Shackelford County,2018,43,23855,3311,486
Texas,Starr County,2018,28.7,14122,63894,22336
Texas,Upton County,2018,37.2,26183,3634,685
Texas,Brown County,2018,41.3,25145,37834,5217
Texas,Hall County,2018,43.5,22846,3074,699
Texas,Franklin County,2018,43,25602,10679,899
Texas,Frio County,2018,31.4,18288,19394,3169
Texas,Lampasas County,2018,42.2,28158,20640,2300
Vermont,Orleans County,2018,45.8,26657,26911,3641
Vermont,Grand Isle County,2018,47.8,40464,6965,528
Vermont,Chittenden County,2018,36.5,37507,162052,17916
Vermont,Lamoille County,2018,40.9,33247,25268,3574
Vermont,Franklin County,2018,40,30692,49025,3740
Vermont,Caledonia County,2018,44.2,28085,30425,3611
Vermont,Windham County,2018,47,31563,43150,5574
Vermont,Bennington County,2018,47,31896,35920,3892
Vermont,Addison County,2018,43.7,33120,36939,2631
Vermont,Essex County,2018,50.4,24163,6208,904
Vermont,Washington County,2018,43.7,34033,58477,6407
Utah,Millard County,2018,35.8,25847,12733,1436
Utah,Tooele County,2018,31.3,25076,65185,4316
Utah,Washington County,2018,36.4,26601,160537,19719
Utah,Kane County,2018,41.7,25746,7350,924
Utah,Summit County,2018,39,53950,40511,2624
Utah,Grand County,2018,40.7,24593,9616,795
Utah,Piute County,2018,44.7,16932,1904,320
Utah,Rich County,2018,30.6,21465,2350,372
Utah,Wasatch County,2018,33.4,32805,30523,2167
Utah,Beaver County,2018,33.4,22558,6443,524
Utah,Box Elder County,2018,32.5,23998,53001,4879
Utah,Iron County,2018,29.1,20861,49691,9645
Georgia,Bacon County,2018,37,19634,11228,2865
Georgia,Brantley County,2018,40.9,18904,18561,4440
Georgia,Ben Hill County,2018,39.7,17563,17154,5304
Georgia,Burke County,2018,37.5,21334,22550,5523
Georgia,Catoosa County,2018,39.9,26915,66299,6425
Georgia,Chattahoochee County,2018,23.7,23651,10767,1201
Georgia,Chattooga County,2018,39.5,18209,24817,4533
Georgia,Columbia County,2018,36.6,32509,147295,12954
Georgia,Decatur County,2018,38.1,20397,26833,6449
Georgia,Floyd County,2018,38.5,25058,96824,17670
Georgia,Forsyth County,2018,38.3,41585,219880,12863
Georgia,Habersham County,2018,39.5,22018,44289,6041
Georgia,Hart County,2018,43.8,22361,25631,4295
Georgia,Lowndes County,2018,30.2,23077,114582,27819
Georgia,McIntosh County,2018,49.7,27030,14120,2777
Georgia,Meriwether County,2018,41.6,20060,21113,4503
Iowa,Marion County,2018,39.2,28832,33207,3068
Iowa,Washington County,2018,40.8,29857,22143,2021
Iowa,Wright County,2018,43.4,28317,12804,1600
Iowa,Cass County,2018,44.9,27853,13191,1493
Iowa,Cherokee County,2018,46.8,32667,11468,1060
Iowa,Crawford County,2018,37.8,28700,17132,2680
Iowa,Des Moines County,2018,42.6,28234,39600,5966
Iowa,Fayette County,2018,43.6,28069,19929,2375
Iowa,Harrison County,2018,44.1,30209,14143,1396
Iowa,Kossuth County,2018,45.5,29963,15075,1449
Iowa,Mills County,2018,42.1,32867,14957,1267
Iowa,Monona County,2018,46.5,27862,8796,1344
Iowa,Muscatine County,2018,38.1,28137,42950,4352
Iowa,Osceola County,2018,43.8,28843,6115,721
Iowa,Polk County,2018,35.3,34474,474274,51725
Iowa,Webster County,2018,39.1,25243,36757,5194
Iowa,Story County,2018,26.3,28034,96922,18527
Iowa,Woodbury County,2018,35.7,27430,102398,13123
Iowa,Black Hawk County,2018,34.9,29100,133009,20471
Iowa,Grundy County,2018,42.5,35443,12341,741
Iowa,Jones County,2018,43.4,28879,20568,1966
Iowa,Mitchell County,2018,43.8,28898,10631,939
