county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng
Putnam,Putnam,Putnam County,39137,OH,Ohio,41.0221,-84.1317
Miami,Miami,Miami County,20121,KS,Kansas,38.5635,-94.8381
Ford,Ford,Ford County,20057,KS,Kansas,37.6917,-99.888
Gibson,Gibson,Gibson County,18051,IN,Indiana,38.3119,-87.5846
Marshall,Marshall,Marshall County,47117,TN,Tennessee,35.4689,-86.765
Hot Spring,Hot Spring,Hot Spring County,5059,AR,Arkansas,34.3177,-92.9461
Preston,Preston,Preston County,54077,WV,West Virginia,39.4693,-79.6682
Evangeline,Evangeline,Evangeline Parish,22039,LA,Louisiana,30.7289,-92.4059
Hale,Hale,Hale County,48189,TX,Texas,34.0705,-101.8269
Botetourt,Botetourt,Botetourt County,51023,VA,Virginia,37.5571,-79.8123
Jasper,Jasper,Jasper County,18073,IN,Indiana,41.023,-87.1161
Wexford,Wexford,Wexford County,26165,MI,Michigan,44.3384,-85.5784
Chambers,Chambers,Chambers County,1017,AL,Alabama,32.9143,-85.392
Weakley,Weakley,Weakley County,47183,TN,Tennessee,36.2983,-88.7178
Geary,Geary,Geary County,20061,KS,Kansas,39.0024,-96.7525
Daviess,Daviess,Daviess County,18027,IN,Indiana,38.7024,-87.0721
Pike,Pike,Pike County,1109,AL,Alabama,31.8027,-85.9409
Caroline,Caroline,Caroline County,24011,MD,Maryland,38.8717,-75.8316
Platte,Platte,Platte County,31141,NE,Nebraska,41.5713,-97.5211
Lyon,Lyon,Lyon County,20111,KS,Kansas,38.4562,-96.1526
Bladen,Bladen,Bladen County,37017,NC,North Carolina,34.6146,-78.5637
Marion,Marion,Marion County,19125,IA,Iowa,41.3344,-93.0994
Emmet,Emmet,Emmet County,26047,MI,Michigan,45.5201,-84.8904
Morrison,Morrison,Morrison County,27097,MN,Minnesota,46.0126,-94.2684
Wasatch,Wasatch,Wasatch County,49051,UT,Utah,40.3308,-111.1682
Lumpkin,Lumpkin,Lumpkin County,13187,GA,Georgia,34.5722,-84.0027
Lawrence,Lawrence,Lawrence County,1079,AL,Alabama,34.5216,-87.311
Rhea,Rhea,Rhea County,47143,TN,Tennessee,35.6087,-84.9244
McCurtain,McCurtain,McCurtain County,40089,OK,Oklahoma,34.1154,-94.7713
Bureau,Bureau,Bureau County,17011,IL,Illinois,41.4041,-89.5286
Wakulla,Wakulla,Wakulla County,12129,FL,Florida,30.1673,-84.4007
Taos,Taos,Taos County,35055,NM,New Mexico,36.5783,-105.631
Titus,Titus,Titus County,48449,TX,Texas,33.2166,-94.9657
Christian,Christian,Christian County,17021,IL,Illinois,39.5458,-89.2772
Lafayette,Lafayette,Lafayette County,29107,MO,Missouri,39.0655,-93.7854
Iberville,Iberville,Iberville Parish,22047,LA,Louisiana,30.2586,-91.3495
Bee,Bee,Bee County,48025,TX,Texas,28.4174,-97.7412
Logan,Logan,Logan County,54045,WV,West Virginia,37.8315,-81.9353
Accomack,Accomack,Accomack County,51001,VA,Virginia,37.7643,-75.6332
Jackson,Jackson,Jackson County,39079,OH,Ohio,39.0197,-82.6184
Chester,Chester,Chester County,45023,SC,South Carolina,34.6921,-81.1595
Henry,Henry,Henry County,47079,TN,Tennessee,36.3318,-88.3013
Clinton,Clinton,Clinton County,18023,IN,Indiana,40.3017,-86.4752
Greene,Greene,Greene County,18055,IN,Indiana,39.0363,-86.962
Jefferson,Jefferson,Jefferson County,18077,IN,Indiana,38.7858,-85.4386
Montgomery,Montgomery,Montgomery County,20125,KS,Kansas,37.1925,-95.7429
Juneau,Juneau,Juneau City and Borough,2110,AK,Alaska,58.4546,-134.1739
Polk,Polk,Polk County,29167,MO,Missouri,37.6165,-93.4005
Pickens,Pickens,Pickens County,13227,GA,Georgia,34.4643,-84.4656
Pontotoc,Pontotoc,Pontotoc County,28115,MS,Mississippi,34.2254,-89.0374
Dorchester,Dorchester,Dorchester County,24019,MD,Maryland,38.4829,-76.0125
Randolph,Randolph,Randolph County,17157,IL,Illinois,38.0521,-89.8252
Stone,Stone,Stone County,29209,MO,Missouri,36.7469,-93.456
Claiborne,Claiborne,Claiborne County,47025,TN,Tennessee,36.4859,-83.6604
